 ,"TITULAR
OIC","SECTOR
OIC",DEPENDENCIA / ENTIDAD,NOMBRE TITULAR,SECTOR,DECRETO DE CREACI‡N,ORGANIGRAMA AUTORIZADO,FECHA,Estatus RI en POE,Fecha de Publicaci¢n POE,ENLACE POE,COMENTARIOS,MANUAL DE REMUNERACIONES,Fecha de Publicaci¢n,ENLACE,
22,,,SECRETAR÷A DE TRABAJO Y PREVISI‡N SOCIAL,LIC. DI‡DORO JOSê SILLER ARGöELLO,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/18-YtMf8mR5N0WlzpBckhHPLUqY4w34LC/view,Septiembre 2025,PUBLICADO,07-nov-20,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_90-2020_acuerdo_ndeg_133_2020_reglamento_interios_styps_0.pdf,,,,,
23,,,SECRETAR÷A DE TURISMO,C. FELIPE EDIBRAY G‡MEZ GALLEGOS,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Central/ST/ESTRUCTURA%20ST.pdf,Agosto 2022,PUBLICADO,19-jul-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-07/ANEXO%2058-2025%20ACUERDO%20N%C2%BA%20119-2025%20REGLAMENTO%20INTERIOR%20DE%20LA%20SECRETAR%C3%8DA%20DE%20TURISMO.pdf,,,,,
24,,,SECRETAR÷A GENERAL DE GOBIERNO,LIC. SANTIAGO DE LA PE•A GRAJEDA,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1FUj1hFMfQo5z7aFJAk0jgHWaCp_9ej0p/view,Marzo 2024,PUBLICADO,"4-dic-21

19-nov-2022 reforma","https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2022-08/ANEXO%2097-2021%20ACUERDO%20No%20151-2021%20REGLAMENTO%20SECRETARI%CC%81A%20GENERAL%20DE%20GOBIERNO.pdf

https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2022-11/ANEXO%2093-2022%20ACUERDO%20N-216-2022%20.pdf (REFORMA)",,,,,
25,,,ADMINISTRADORA DE SERVICIOS AEROPORTUARIOS DE CHIHUAHUA ,ING. RAUL ALBERTO ZABRE OCHOA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/decretos/archivosDecretos/1869.pdf,https://drive.google.com/file/d/1nCug0rTrNIlMsPEJGfYg5X-w5l1N0r-d/view,enero 2024,Sin publicar,,,,,,,
26,,,AGENCIA ESTATAL DE DESARROLLO ENERGêTICO,LIC. LUIS CARLOS HERNµNDEZ AYALA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/1539.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/AEDE/ESTRUCTURA%20AEDE.pdf,Octubre 2022,PUBLICADO,25-feb-23,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-02/ANEXO%2016-2023%20ESTATUTO%20ORG%C3%81NICO%20AGENCIA%20ESTATAL%20DE%20DESARROLLO%20ENERG%C3%89TICO.pdf,,,,,
27,,,ARCHIVO GENERAL DEL ESTADO DE CHIHUAHUA,LIC. EVA LUC÷A GARC÷A SAENZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/1542.pdf,https://drive.google.com/file/d/1_8zy_J6HGAVY3OMmBVV6dp0hDT6kKS0b/view,Mayo 2024,PUBLICADO,07-dic-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2024-12/ANEXO%2098-2024%20AGECH%20ESTATUTO%20ORG%C3%81NICO%20DEL%20ARCHIVO%20GENERAL%20DEL%20ESTADO%20DE%20CHIHUAHUA.pdf,,,,,
28,,,CENTRO DE CONCILIACI‡N LABORAL DEL ESTADO DE CHIHUAHUA,MTRO. FAUSTO FORTUNATO BARRAZA ARVIZU,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/1419.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/CCL/ESTRUCTURA%20CCL.pdf,Agosto 2023,PUBLICADO,15-feb-23,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-02/ANEXO%2013-2023%20ACUERDO%201.2023%20III.pdf,,,,,
29,,,COLEGIO DE BACHILLERES DEL ESTADO DE CHIHUAHUA,MTRO. REYES HUMBERTO DE LAS CASAS MU•OZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/1006.pdf,https://drive.google.com/file/d/1glSD9RY7h0zV6WK2BbLSf047acmReBrP/view,Septiembre 2025,SIN PUBLICAR,,,,,,,
30,,,COLEGIO DE EDUCACI‡N PROFESIONAL TêCNICA DEL ESTADO DE CHIHUAHUA (CONALEP),MTRO. OMAR BAZµN FLORES,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/120.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/CONALEP/ESTRUCTURA%20CONALEP.pdf,Julio 2019,SIN PUBLICAR,,,,,,,
31,,,COLEGIO DE ESTUDIOS CIENT÷FICOS Y TECNOL‡GICOS DEL ESTADO DE CHIHUAHUA,LIC. ADRIANA ALEJANDRA RUIZ RAMIREZ,Paraestatal,https://drive.google.com/file/d/0B2PDi3kcros1YXBXQnB0M084cDA/view?resourcekey=0-HaGLIPPuINO_Otn3Nptx6g,https://drive.google.com/file/d/1Ul1V82D07NgbvP4dYZ5R9BjNMixitJ3l/view,Septiembre 2019,SIN PUBLICAR,,,,,,,
32,,,"COMISI‡N ESTATAL DE VIVIENDA, SUELO E INFRAESTRUCTURA DE CHIHUAHUA",LIC. JOSê ANTONIO CHµVEZ RODR÷GUEZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/903.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/COESVI/ESTRUCTURA%20COESVI.pdf,Diciembre 2022,PUBLICADO,20-dic-14,https://chihuahua.gob.mx/atach2/po102bajo_2014.pdf,,,,,
33,,,COMISI‡N ESTATAL PARA LA PROTECCI‡N SOBRE RIESGOS SANITARIOS,DR. LUIS CARLOS TAR÷N VILLAMAR,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/894.pdf,N/A,N/A,PUBLICADO,24-sep-16,https://chihuahua.gob.mx/sites/default/atach2/anexos/anexo_077-2016_acuerdo_100_coespris.pdf,"Cabe se§alar que dada la naturaleza del ente, de acuerdo a la Ley de Entidades Paraestatales le corresponde contar con un Estatuto Org†nico, sin embargo, el documento se denomina como un Reglamento Interior. Adem†s el decreto de creaci¢n es el Acuerdo 106 del 7 de mayo de 2005, mismo que no fue localizado en el Peri¢dico Oficial del Estado de Chihuahua.",,,,
34,,,CONSEJO ESTATAL DE POBLACI‡N,MTRO. ENRIQUE SERRANO ESCOBAR,Paraestatal,https://drive.google.com/file/d/1SLKJuNkPyYCEvtcN8uidIjfqPgXhoKDt/view,https://drive.google.com/file/d/14x_zSw9TDilwFPlZ4D1FpcuVqBRiaZJ5/view,Diciembre 2023,PUBLICADO,03-may-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-05/ANEXO%2036-2025%20COESPO%20ACUERDO%20N%C2%BA%2001-04-24-2025%20ESTATUTO%20ORG%C3%81NICO%20CONSEJO%20ESTATAL%20DE%20POBLACI%C3%93N.pdf,,,,,
